r,g,b,y
0.63749254,0.5946718,0.35751504,2
0.5787197,0.5488234,0.34498775,2
0.58167356,0.54610324,0.3478822,2
0.6010186,0.56727844,0.35725576,2
0.6293607,0.60387766,0.3719205,2
0.5993293,0.5772424,0.351147,2
0.5813088,0.5747943,0.39059758,2
0.60843545,0.57425845,0.35375765,2
0.6052906,0.5663323,0.32215208,2
0.6533122,0.6084173,0.35590038,2
0.6364856,0.61538166,0.41041613,2
0.630164,0.60329294,0.37018397,2
0.5956508,0.5856902,0.39735776,2
0.5971207,0.56836694,0.35766485,2
0.59153694,0.5794722,0.38774312,2
0.5849276,0.57290393,0.39038953,2
0.62843174,0.6056029,0.3950828,2
0.5784634,0.5602548,0.3641007,2
0.62020177,0.5905761,0.35097155,2
0.6388171,0.6095018,0.3715779,2
0.61220866,0.5821938,0.37967116,2
0.5837234,0.56545466,0.3784639,2
0.60739523,0.5878906,0.40406877,2
0.63713366,0.6098672,0.40714926,2
0.61797386,0.59627247,0.37429464,2
0.5675694,0.55013365,0.34816143,2
0.6162023,0.5872333,0.3847361,2
0.5890821,0.56539565,0.3513239,2
0.5995969,0.58545154,0.38926485,2
0.6289192,0.58952576,0.33849144,2
0.5944417,0.56744134,0.34054577,2
0.5881753,0.5666487,0.35635367,2
0.60679173,0.5858466,0.3648993,2
0.61243486,0.59007066,0.39818546,2
0.6280088,0.608203,0.40527415,2
0.5641571,0.54338706,0.361186,2
0.6091722,0.5862102,0.35392988,2
0.5928712,0.57579917,0.37866727,2
0.60340613,0.5811916,0.39352825,2
0.6157137,0.5940114,0.38698244,2
0.5811807,0.5799695,0.4077799,2
0.5966717,0.58061963,0.3804693,2
0.6387989,0.6189561,0.4238684,2
0.6308382,0.59732604,0.38701445,2
0.61751837,0.59190106,0.39034432,2
0.5693064,0.54889184,0.33302432,2
0.65074664,0.6072302,0.36379746,2
0.62517685,0.60713416,0.39861384,2
0.56070095,0.5540849,0.34061703,2
0.592138,0.57058674,0.38425872,2
0.63103324,0.60693103,0.4045518,2
0.59300643,0.58397853,0.3970207,2
0.6027853,0.57509536,0.3554003,2
0.605541,0.58357793,0.3598535,2
0.6055072,0.5820404,0.3557732,2
0.58511794,0.56487304,0.33735272,2
0.5983804,0.5725741,0.35398328,2
0.5850675,0.5714091,0.35023552,2
0.6488569,0.6154156,0.40206856,2
0.60295236,0.5884169,0.40903056,2
0.632331,0.6076846,0.40232965,2
0.5843679,0.5748056,0.3435845,2
0.6016993,0.57767934,0.38489294,2
0.62418234,0.60757774,0.4063054,2
0.6280088,0.608203,0.40527415,2
0.6049514,0.58515406,0.38498425,2
0.6265692,0.5887886,0.37116015,2
0.609546,0.56441826,0.3091508,2
0.581842,0.5683852,0.37547514,2
0.57397527,0.5525968,0.37242416,2
0.5971571,0.57255816,0.348944,2
0.6425848,0.60440254,0.4004711,2
0.64684445,0.6076002,0.3681727,2
0.6386602,0.5973699,0.36993745,2
0.57733566,0.5633425,0.3327839,2
0.58882844,0.557381,0.35383573,2
0.64334154,0.6027504,0.36891958,2
0.6252377,0.59094167,0.35004446,2
0.6200744,0.5949918,0.3730629,2
0.6385007,0.6151138,0.39785296,2
0.60174465,0.58050394,0.35340005,2
0.60970426,0.5865084,0.3563629,2
0.5640233,0.54729337,0.36880496,2
0.6391815,0.6133929,0.36089846,2
0.58779263,0.56965405,0.3500072,2
0.6131627,0.58595234,0.37578768,2
0.6141891,0.57912564,0.34334317,2
0.6445552,0.6170639,0.3762506,2
0.59252524,0.57111806,0.3766934,2
0.6072621,0.58976716,0.39752337,2
0.6008464,0.5757325,0.3593811,2
0.59788805,0.5784729,0.36276582,2
0.61838686,0.59826696,0.39782393,2
0.57462746,0.56139666,0.3809826,2
0.61217004,0.59064126,0.402575,2
0.64393324,0.6051453,0.3575217,2
0.5813783,0.5709574,0.3575104,2
0.61990076,0.58767366,0.34914088,2
0.6131207,0.59388506,0.39330992,2
0.6071624,0.5800537,0.35151,2
0.63086915,0.6089958,0.36508206,2
0.6342279,0.61611164,0.40629417,2
0.60684013,0.58620983,0.34950578,2
0.6081845,0.58296174,0.35540584,2
0.66416425,0.62605864,0.3668072,2
0.57461894,0.55559343,0.33887556,2
0.6390968,0.6193629,0.42404228,2
0.61769396,0.60423803,0.40121132,2
0.5296683,0.52576166,0.35727578,2
0.5929953,0.56040347,0.36208558,2
0.6622044,0.63267463,0.41708624,2
0.6529745,0.61279416,0.35703844,2
0.607312,0.5926248,0.4098582,2
0.6056528,0.5909086,0.38157153,2
0.6087395,0.58664805,0.3585364,2
0.6690298,0.62560177,0.3693758,2
0.5810495,0.5554152,0.35465294,2
0.6303129,0.60937756,0.41823918,2
0.6058604,0.5779566,0.3502401,2
0.6148598,0.5838593,0.36036986,2
0.5975056,0.57878655,0.38363233,2
0.61905473,0.59119976,0.35849264,2
0.58341277,0.5627657,0.34845957,2
0.6156452,0.5964803,0.4043987,2
0.5811807,0.5799695,0.4077799,2
0.5892143,0.5658111,0.35167554,2
0.5825681,0.5670246,0.38559985,2
0.5784779,0.5582644,0.35400358,2
0.6011791,0.5769956,0.38212037,2
0.60263413,0.59266734,0.41476792,2
0.6188429,0.58667547,0.34797594,2
0.6259871,0.60758877,0.3766956,2
0.61123365,0.5884212,0.39751512,2
0.61952555,0.596724,0.39516366,2
0.5723201,0.5579577,0.37566286,2
0.6350481,0.6038909,0.36081716,2
0.5991447,0.5874068,0.41175342,2
0.5981782,0.57161045,0.3421802,2
0.59052986,0.56371397,0.3605857,2
0.6519087,0.61166453,0.37124285,2
0.5967935,0.5727848,0.35917163,2
0.5669485,0.5311968,0.3332486,2
0.6062908,0.5843081,0.35896543,2
0.62471867,0.60832655,0.4117524,2
0.6105245,0.59533393,0.3783524,2
0.60715556,0.5852623,0.3547071,2
0.61643374,0.59862715,0.40840745,2
0.66155523,0.627312,0.41923195,2
0.6499926,0.6087306,0.36529142,2
0.6199699,0.59402484,0.3670854,2
0.6004369,0.58617127,0.39441395,2
0.65787673,0.6237162,0.41811508,2
0.63382363,0.61475706,0.4249683,2
0.63110715,0.59868723,0.3952824,2
0.6055087,0.59514093,0.40295997,2
0.5769821,0.5496045,0.32370156,2
0.6138443,0.59389204,0.39136204,2
0.6230291,0.61165875,0.36634067,2
0.58926946,0.56538105,0.35244435,2
0.6092055,0.59014666,0.3860537,2
0.5696445,0.5306934,0.33360088,2
0.6032228,0.5731627,0.33967888,2
0.6121241,0.58375937,0.34681588,2
0.62459624,0.60101265,0.37108195,2
0.6335015,0.6040753,0.40403306,2
0.5881088,0.5736221,0.38443342,2
0.61169887,0.58591944,0.3561169,2
0.5917291,0.568847,0.35478476,2
0.58718145,0.57719445,0.39708322,2
0.6037916,0.59324825,0.41486663,2
0.604594,0.5720083,0.3463204,2
0.6026212,0.589656,0.41102505,2
0.6149371,0.58549404,0.38300544,2
0.66721666,0.6261567,0.37510946,2
0.5804185,0.57273805,0.40431577,2
0.5705413,0.56343144,0.4029617,2
0.62145615,0.6031534,0.41205686,2
0.6089428,0.5826474,0.35569814,2
0.6032945,0.5653819,0.33216822,2
0.636516,0.6166945,0.40846157,2
0.59863853,0.5830409,0.38465694,2
0.60089344,0.5915347,0.39005375,2
0.6101617,0.59553623,0.39855856,2
0.6124119,0.5887215,0.3599336,2
0.6008364,0.5673197,0.36659014,2
0.59511817,0.56437534,0.362594,2
0.5768956,0.55672395,0.33017492,2
0.5882776,0.5746863,0.38681543,2
0.5714195,0.55225956,0.3725079,2
0.6123324,0.5839963,0.38477215,2
0.58557135,0.56946075,0.34713018,2
0.6024973,0.5874486,0.40769416,2
0.6079629,0.5737302,0.35384327,2
0.63602364,0.59976524,0.37219176,2
0.62209946,0.598196,0.3678401,2
0.6030321,0.5867368,0.38829055,2
0.5931122,0.5700291,0.35894608,2
0.6418922,0.6127284,0.40941405,2
0.600024,0.57646924,0.35883883,2
0.6038646,0.5932772,0.41471326,2
0.6053917,0.57972425,0.38716283,2
0.6117856,0.5911009,0.37360606,2
0.59679294,0.5733732,0.35607144,2
0.6131003,0.59039605,0.36951295,2
0.59052664,0.5763064,0.38590908,2
0.60270894,0.584314,0.4016712,2
0.6211115,0.59776175,0.3869042,2
0.62020695,0.5966865,0.3747522,2
0.61503834,0.57940906,0.35817778,2
0.6090464,0.5845694,0.35480538,2
0.64343905,0.61829734,0.42003492,2
0.5773933,0.54130787,0.30660155,2
